word,translation,tag
activity,"n. 活动, 行动, 活跃, 活力\n[计] 活动",gaokao
actor,"n. 男演员, 行动者\n[医] 作用物, 反应物",gaokao
actress,n. 女演员,gaokao
actual,"a. 真实的, 实际的, 现行的\n[医] 实际死亡率",gaokao
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的\n[医] 急性的; 尖锐的",gaokao
adapt,"vt. 使适应, 改编\nvi. 适应",gaokao
adaptation,"n. 适应, 改编, 改编本\n[医] 适应[作用]",gaokao
add,"vt. 增加, 添加, 附带说明, 计算...总和\nvi. 做加法, 积累而成, 增添\n[计] 加法",gaokao
addicted,"a. 沉溺于...的, 无法摆脱(某种嗜好)的\n[法] 嗜, 好, 惯于",gaokao
addition,"n. 加法, 增加的人(或物)\n[计] 加法",gaokao
address,"n. 住址, 演说, 举止, 灵巧, 求爱\nvt. 发表(演说或讲话), 对付, 写地址\n[计] 地址, 寻址",gaokao
adequate,"a. 适当的, 足够的\n[法] 胜任的, 适当的, 充分的",gaokao
adjust,"vt. 调整, 使适应于, 校准\nvi. 适应于, 被调节, 相互熟悉而适应",gaokao
adjustment,"n. 调整, 调节, 校正\n[化] 调节",gaokao
administration,"n. 行政, 管理, 政府机关\n[化] 给药",gaokao
admirable,"a. 可钦佩的, 极好的, 令人惊奇的",gaokao
admire,"vt. 赞美, 钦佩, 爱慕\nvi. 称赞, 惊奇",gaokao
admission,"n. 准许进入, 入场费, 录用, 承认\n[经] 加入, 入股",gaokao
admit,"vt. 承认, 接受, 允许进入, 容许\nvi. 开向, 容许, 承认",gaokao
adolescence,"n. 青春期\n[医] 青年期, 青春期",gaokao
adolescent,"a. 青春期的, 青少年的\nn. 青少年",gaokao
adopt,"vt. 采用, 正式通过, 收养, 接受\n[医] 采取",gaokao
adore,"vt. 崇拜, 爱慕, 喜爱\nvi. 崇拜, 爱慕",gaokao
adult,"n. 成人, 成虫\na. 成年的, 成熟的",gaokao
advance,"n. 前进, 进展, 行过的路程\nvi. 前进, 进展, 提高, 上涨\nvt. 使前进, 促进, 提出, 提高, 使提前, 预付\na. 前面的, 预先的",gaokao
advantage,"n. 优点, 便利, 好处, 优势\nvt. 有助于",gaokao
adventure,"n. 冒险, 冒险经历\nv. 冒险",gaokao
advertise,"vt. 做广告, 通知, 公布\nvi. 做广告",gaokao
advertisement,"n. 广告, 启事, 广告宣传\n[法] 广告, 公告, 告示",gaokao
advice,"n. 忠告, 劝告, 意见, 报道, 通知\n[经] 通知书, 通知, 建议",gaokao
advise,"vt. 劝告, 给...出主意, 通知, 建议\nvi. 提意见, 商量",gaokao
advocate,"n. 提倡者, 拥护者\nvt. 主张, 提倡",gaokao
aeroplane,n. 飞机\n[机] 飞机,gaokao
affair,"n. 事件, 事务, 恋爱事件",gaokao
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于\nn. 自觉感情",gaokao
affection,"n. 影响, 病, 喜爱, 情感, 倾向\n[医] 疾患, 病变, 病; 感情",gaokao
afford,"vt. 买得起, 足以, 给予",gaokao
afraid,"a. 害怕的, 恐怕的, 遗憾的",gaokao
africa,n. 非洲,gaokao
african,"n. 非洲人\na. 非洲的, 非洲人的",gaokao
after,"prep. 在...之后, 由于\nconj. 在...之后\nadv. 后来",gaokao
afternoon,"n. 午后, 下午",gaokao
afterward,"adv. 然后, 后来",gaokao
again,"adv. 再一次, 又, 到原处",gaokao
against,"prep. 反对, 对着, 倚靠",gaokao
age,"n. 年龄, 老年, 成年, 寿命, 时代, 时期\nv. 变老, 成熟",gaokao
agency,"n. 代理机构, 经销商, 中介\n[化] 办事处",gaokao
agenda,"pl. 议程, 日常工作事项\n[计] 待议事件",gaokao
agent,"n. 代理商, 政府代表, 动原, 媒介\n[计] 代理程序",gaokao
aggression,"n. 侵犯, 侵略\n[医] 攻击",gaokao
aggressive,"a. 侵略的, 挑畔的, 进取的\n[法] 侵略的, 爱挑衅的, 行为过火的",gaokao
ago,adv. 以前,gaokao
agree,"vi. 同意, 赞成, 应允, 适合\nvt. 承认, 认定, 同意",gaokao
agreement,"n. 同意, 合约, 协议\n[经] 契约, 协议, 协定",gaokao
agricultural,"a. 农业的\n[法] 农业的, 耕作的",gaokao
agriculture,"n. 农业\n[机] 农业, 农学",gaokao
ahead,"a. 领先的, 预先的, 向前的\nadv. 领先, 预先, 向前, 胜于, 在前面, 在将来",gaokao
aid,"n. 帮助, 外援, 助手\nvt. 援助, 帮助, 有助于\nvi. 帮助\n[计] 自动内部诊断",gaokao
aids,"n. 爱滋病(获得性免疫缺陷综合征)\n[计] 高级综合数据系统, 先进交互调试系统, 自动图解文档编制系统\n美国决策学学会, 信息自动显示系统, 自动综合调试系统",gaokao
aim,"n. 目标, 瞄准, 击中目标的能力\nvi. 对准目标, 致力, 打算\nvt. 瞄准\n[计] 医学文摘索引, 存取隔离机构, 高级信息管理程序, 先进接口模块\n应用接口模块, 医学人工智能, 相联索引法, 异步接口模块\n自动化信息管理, 自动化综合制造, 自动化库存管理",gaokao
air,"n. 空气, 旋律, 态度\nvt. 晾, 使通风, 夸耀",gaokao
aircraft,"n. 航空器, 飞机\n[机] 航空器",gaokao
airline,"n. 航线, 航线的设备, 航空公司",gaokao
airmail,n. 航空邮件,gaokao
airplane,n. 飞机\n[机] 飞机,gaokao
airport,"n. 飞机场\n[机] 航空站, 机场",gaokao
airspace,"n. 空域, 空间\n[机] 气隙",gaokao
alarm,"n. 惊恐, 警报, 警钟\nvt. 使惊恐, 警告\n[计] 报警信号",gaokao
album,"n. 粘贴簿, 唱片套\n[医] 白色物",gaokao
alcohol,"n. 酒精, 酒\n[化] 醇; 乙醇; 酒精",gaokao
alcoholic,"n. 酒鬼, 酒精中毒者\na. 酒精的",gaokao
algebra,n. 代数学,gaokao
alike,"a. 相似的, 同样的\nadv. 一样, 以同样的方式",gaokao
alive,"a. 活着的, 活泼的, 敏感的, 热闹的",gaokao
all,"a. 所有的, 全部的, 一切的\nadv. 全部, 全然\npron. 全部\nn. 全部",gaokao
allergic,"a. 对...过敏的, 极反感的\n[医] 变应性的",gaokao
alley,"n. 小路, 巷",gaokao
allocate,"vt. 分派, 分配\n[计] 分配",gaokao
allow,"vt. 允许, 同意给予, 承认\nvi. 容许, 猜想\n[计] 允许命令",gaokao
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许\nvt. 定量供应",gaokao
almost,"adv. 几乎, 差不多",gaokao
alone,"a. 孤独的, 单独的, 独自的\nadv. 独自地",gaokao
along,"adv. 平行地, 向前\nprep. 沿着",gaokao
alongside,"adv. 在旁边, 靠拢着\nprep. 在...旁边, 与...在一起",gaokao
aloud,"adv. 出声地, 大声地",gaokao
alphabet,n. 字母\n[计] 字母表,gaokao
already,"adv. 已经, 早已",gaokao
also,"adv. 也, 并且, 同样地",gaokao
alternative,"n. 两者择一, 供替代的选择\na. 两者择一的, 供选择的\n[计] 选择对象",gaokao
although,"conj. 虽然, 尽管",gaokao
altitude,"n. 高度, 海拔, 高处\n[电] 高度",gaokao
altogether,"adv. 完全地, 总而言之",gaokao
aluminium,n. 铝\na. 铝的,gaokao
always,"adv. 总是, 始终",gaokao
am,"be的单数第一人称\n[计] 存取管理程序, 寻址方式, 地址标记, 变址数, 调幅, 辅助存储器",gaokao
amateur,"n. 业余爱好者, 外行, 爱好者\n[电] 业余家",gaokao
amaze,vt. 使吃惊,gaokao
amazing,a. 令人惊异的,gaokao
ambassador,"n. 大使\n[法] 大使, 使节, 代理",gaokao
ambiguous,"a. 不明确的, 模棱两可的\n[法] 意思含糊的, 模棱两可的, 暧昧的",gaokao
ambition,"n. 野心, 志向",gaokao
ambulance,n. 救护车\n[医] 救护车,gaokao
america,"n. 美洲, 美国",gaokao
american,"n. 美国人\na. 美国的, 美洲的",gaokao
among,prep. 在...之中,gaokao
amount,"n. 总数, 总额\nvi. 总计, 等同",gaokao
ample,"a. 大量的, 充足的, 丰富的",gaokao
amuse,"vt. 消遣, 娱乐, 使发笑",gaokao
amusement,"n. 兴味, 娱乐, 消遣\n[法] 娱乐, 娱乐活动",gaokao
analysis,n. 分析\n[计] 分析机; 分析员; 分析; 分析程序,gaokao
analyze,"vt. 分析, 细察, 分解\n[机] 分析",gaokao
ancestor,"n. 祖先, 祖宗",gaokao
ancient,"a. 古代的, 古老的, 年老的, 旧的",gaokao
and,"conj. 和, 与\n[计] 与",gaokao
anecdote,"n. 轶事, 奇闻",gaokao
anger,"n. 忿怒\nvt. 激怒, 使发怒\nvi. 发怒",gaokao
angle,"n. 角, 角度, 角落\nvi. 钓鱼, 谋取, 博取, 斜向移动, 转变角度\nvt. 使转动角度, 在...钓鱼, 获取",gaokao
angry,"a. 生气的, 愤怒的",gaokao
animal,n. 动物\n[医] 动物,gaokao
ankle,"n. 踝\n[医] 踝, 踝关节",gaokao
anniversary,n. 周年纪念,gaokao
announce,"vt. 宣布, 声称, 显示, 预告\nvi. 当报幕员, 宣布参加竞选",gaokao
announcement,"n. 公告, 发表, 告知\n[经] 通告, 布告, 公告",gaokao
annoy,"vt. 使恼怒, 骚扰",gaokao
annual,"n. 年刊, 年报\na. 每年的, 一年一次的, 全年的, 一年生的",gaokao
another,"a. 另外的, 再一的, 不同的\npron. 又一个, 另一个, 类似的另一个",gaokao
answer,"n. 答案, 回答, 回报, 答辩\nvt. 回答, 反驳, 适应, 响应, 符合\nvi. 回答, 答应, 负责, 符合, 成功\n[计] 用户问题及答案新闻组",gaokao
ant,n. 蚂蚁,gaokao
antarctic,"a. 南极的, 南极地带的\nn. 南极地区",gaokao
antarctica,n. 南极洲,gaokao
antique,"n. 古董, 古物\na. 古老的, 古风的, 旧式的, 过时的",gaokao
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事\n[医] 焦虑",gaokao
anxious,"a. 忧虑的, 发愁的, 渴望的",gaokao
any,a. 任何的\npron. 任何,gaokao
anybody,pron. 任何人\nn. 重要人物,gaokao
anyhow,"adv. 无论如何, 至少",gaokao
anyone,pron. 任何人,gaokao
anything,pron. 任何事,gaokao
anywhere,adv. 无论何处,gaokao
apart,"adv. 成零碎, 成距离, 分别地, 分离着\na. 分离的",gaokao
apartment,"n. 房间, 公寓",gaokao
apologize,"vi. 道歉, 辩解",gaokao
apology,"n. 道歉, 辩护\n[法] 道歉, 谢罪, 辩解者",gaokao
apparent,"a. 清晰可见的, 显然的, 表面上的\n[电] 外在的",gaokao
appeal,"n. 恳求, 诉请, 上诉, 吸引力\nvi. 呼吁, 诉请, 要求, 上诉, 有吸引力\nvt. 将...上诉",gaokao
appear,"vi. 出现, 显得, 来到\n[法] 出庭, 到案, 出现",gaokao
appearance,"n. 出现, 露面, 外观, 外表, 出版\n[计] 外观, 版面",gaokao
appendix,"n. 附录, 附加物, 阑尾\n[化] 增补",gaokao
appetite,"n. 食欲, 欲望, 爱好\n[医] 食欲",gaokao
applaud,"v. 拍手喝彩, 称赞, 赞同",gaokao
apple,"n. 苹果, 家伙\n[医] 苹果",gaokao
applicant,"n. 申请者\n[经] 申请人, 请求人, 谋事人",gaokao
application,"n. 应用, 申请, 志愿书, 应用程序\n[计] 应用, 应用程序",gaokao
apply,"vt. 涂, 应用\nvi. 申请, 适用",gaokao
appoint,"vt. 任命, 指定, 下令\n[法] 派, 派任, 任命",gaokao
appointment,"n. 约会, 委任的职位, 委派\n[经] 任命, 派, 指定",gaokao
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏\nvi. 增值, 涨价",gaokao
appreciation,"n. 感激, 赏识, 鉴别\n[经] 涨价, 增值",gaokao
approach,"n. 接近, 入门\nvt. 接近, 近似, 找...商量\nvi. 靠近",gaokao
appropriate,"a. 适当的\n[经] 适当的, 拨出, 占用",gaokao
approve,"vt. 赞同, 核准, 为...提供证据\nvi. 赞许",gaokao
approximately,"adv. 大约, 大致, 近于\n[经] 大约, 近似",gaokao
april,n. 四月,gaokao
apron,n. 围裙\n[医] 围裙,gaokao
arab,"n. 阿拉伯人, 阿拉伯马\na. 阿拉伯人的, 阿拉伯的",gaokao
arabic,"n. 阿拉伯语\na. 阿拉伯语的, 阿拉伯人的, 阿拉伯式的",gaokao
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的",gaokao
arch,"n. 拱门, 拱形, 足弓\nvt. 使成弓形\nvi. 拱起, 成弓形\na. 主要的, 调皮的, 傲慢无礼的, 狡猾的",gaokao
architect,"n. 建筑师, 设计者, 缔造者",gaokao
architecture,"n. 建筑学, 建筑式样\n[计] 体系结构",gaokao
arctic,"a. 北极的, 极寒的\nn. 北极圈, 北极",gaokao
are,be的现在时复数或第二人称单数,gaokao
area,"n. 区域, 面积, 范围, 空地\n[计] 区域",gaokao
argue,"vi. 提出理由, 争论, 辩论\nvt. 主张, 辩论, 证明, 说服",gaokao
argument,"n. 争论, 论证, 论据, 自变量\n[计] 参数",gaokao
arise,"vi. 站立, 出现, 起来",gaokao
arithmetic,"n. 算术, 算术知识\n[机] 算术; 算术的",gaokao
arm,"n. 手臂, 袖子, 狭长港湾, 武器\nvt. 武装, 装备\nvi. 武装起来\n[计] 异步应答方式; 自动货品销路管理",gaokao
armchair,n. 扶手椅,gaokao
army,"n. 军队, 陆军",gaokao
around,"prep. 包围, 在...周围, 四处\nadv. 兜着圈子, 在附近, 到处",gaokao
arrange,"v. 安排, 排列, 达成协议\n[计] 重排",gaokao
arrangement,"n. 排列, 整齐, 安排\n[计] 排列",gaokao
arrest,"n. 逮捕, 监禁\nvt. 拘捕, 抑制, 吸引, 阻止",gaokao
arrival,"n. 到达, 抵达, 到达者\n[经] 到达, 到达物",gaokao
arrive,"vi. 到达, 抵达",gaokao
arrow,"n. 箭, 箭状物, 箭头记号",gaokao
art,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术\n[计] 实际保持时间, 特许权和资源表, 平均检索时间, 平均运行时间",gaokao
article,"n. 文章, 冠词, 物品, 物件, 条款, 契约\n[计] 信件",gaokao
artificial,"a. 人造的, 假的, 非原地产的\n[医] 人工的, 人造的, 伟牟",gaokao
artist,"n. 艺术家, 画家",gaokao
as,"adv. 同样地, 例如\nprep. 做为, 当作\nconj. 当...之时, 以...的方式, 像...一样, 因为\n[计] 高级系统, 先进系统, 辅助存储器, 自治系统",gaokao
ash,"n. 灰, 灰烬\n[化] 灰分",gaokao
ashamed,"a. 惭愧的, 羞耻的",gaokao
asia,n. 亚洲,gaokao
asian,"n. 亚洲人\na. 亚洲的, 亚洲人的",gaokao
aside,"n. 小声说的话, 旁白\nadv. 在一边, 离开, 另外",gaokao
ask,"vi. 问, 要求\nvt. 问, 要求, 邀请, 需要",gaokao
asleep,"a. 睡着的, 长眠的, 麻木的\nadv. 熟睡地",gaokao
aspect,"n. 外观, 方面, 面貌, 方向\n[医] 方面, 局面; 外观",gaokao
assess,"vt. 估定, 对...征税, 评定\n[经] 估计, 估价, 确定(税款罚款等)的金额",gaokao
assessment,"n. 评估, 估定, 评定的款额\n[化] 评估",gaokao
assist,"n. 帮助, 协助\nvt. 帮助, 促进\nvi. 协助, 参加",gaokao
assistance,"n. 协助, 援助\n[经] 援助, 帮助",gaokao
assistant,"n. 助手, 助理, 助教\na. 有帮助的, 辅助的, 助理的",gaokao
associate,"n. 同伴, 伙伴, 关联的事物\nvt. 使联合, 使发生联系\nvi. 交往\n[计] 关联",gaokao
association,n. 协会\n[计] 关联,gaokao
assume,"vt. 假定, 承担, 呈现\nvi. 装腔作势, 僭越",gaokao
assumption,"n. 假定, 自负, 担任, 假装\n[经] 假定, 承担",gaokao
astonish,vt. 使惊讶,gaokao
astronaut,"n. 太空旅行者, 宇航员\n[法] 美国太空人",gaokao
astronomer,n. 天文学家,gaokao
astronomy,n. 天文学,gaokao
at,"prep. 在, 向, 对\n[计] 地址转换器, 异常传输, 自动订票",gaokao
athlete,"n. 运动员, 运动选手\n[医] 运动员",gaokao
athletic,a. 运动的,gaokao
athletics,n. 体育运动,gaokao
atlantic,n. 大西洋\na. 大西洋的,gaokao
atmosphere,"n. 大气, 空气, 气氛\n[医] 大气; 大气压",gaokao
atom,"n. 原子, 核能, 微粒, 微量\n[计] 原子",gaokao
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚\nvi. 附属, 归属, 联系在一起\n[计] 挂接服务器命令, 关联, 挂接, 附加",gaokao
attack,"n. 攻击, 抨击\nvt. 攻击, 抨击, 动手干\nvi. 攻击",gaokao
attain,"vt. 达到, 获得\nvi. 达到",gaokao
attempt,"n. 尝试, 企图\nvt. 尝试, 企图",gaokao
attend,"vt. 参加, 照料, 伴随\nvi. 专心于, 照顾, 服侍, 出席",gaokao
attention,"n. 注意, 注意力\n[计] 引起注意信号",gaokao
attentively,"adv. 注意地, 留心地",gaokao
attitude,"n. 态度, 看法, 姿势\n[医] 体态, 姿势, 态度",gaokao
attract,"vt. 吸引, 诱惑\nvi. 有吸引力",gaokao
attraction,"n. 吸引, 吸引人的事物, 吸引力\n[医] 吸引",gaokao
attractive,"a. 吸引人的, 有魅力的\n[法] 有吸引力的, 有迷惑力的",gaokao
audience,"n. 听众, 观众, 读者\n[法] 听讼, 观众, 听众",gaokao
august,"n. 八月\na. 威严的, 令人敬畏的",gaokao
aunt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母",gaokao
australia,"n. 澳洲, 澳大利亚",gaokao
australian,"n. 澳大利亚人\na. 澳大利亚的, 澳洲的, 澳洲人的",gaokao
authentic,"a. 可靠的, 可信的, 真正的\n[法] 被认证的, 确认的, 可信的",gaokao
author,"n. 作家, 作家的著作, 创始人\n[法] 作者, 著作人, 本人",gaokao
authority,"n. 权力, 当权者, 当局, 权威, 专家\n[经] 代理权, 授权, 权威",gaokao
automatic,"n. 自动手枪, 自动机械\na. 自动的, 机械的, 必然的, 无意识的",gaokao
autonomous,a. 自治的\n[医] 自主的,gaokao
autumn,"n. 秋天, 成熟期",gaokao
available,"a. 可利用的, 可获得的, 有效的\n[医] 有效的, 可得的",gaokao
avenue,"n. 大街, 途径, 林荫路",gaokao
average,"n. 平均, 平均数, 一般水平, 海损\na. 平均的, 中等的, 平常的\nvt. 算出...平均数, 平均做, 均分, 使平衡\nvi. 平均为, 呈中间色",gaokao
avoid,"vt. 避免, 防止, 撤消\n[法] 避免, 回避, 躲开",gaokao
awake,"a. 醒着的\nvt. 唤醒, 唤起, 使意识到\nvi. 醒来, 被唤起, 意识到",gaokao
award,"n. 奖品, 裁定, 判决\nvt. 授予, 给予",gaokao
aware,"a. 知道的, 有觉悟的",gaokao
away,adv. 离去,gaokao
awesome,"a. 引起敬畏的, 可怕的",gaokao
awful,"a. 可怕的, 庄严的, 虔敬的",gaokao
awkward,"a. 笨拙的, 棘手的",gaokao
baby,n. 婴孩\n[医] 婴儿,gaokao
bachelor,"n. 单身汉, 学士\n[法] 学士, 单身汉",gaokao
back,"a. 后面的\nvt. 使后退, 支持\nvi. 倒退, 背靠\nadv. 向后地\nn. 背部, 后面",gaokao
backache,n. 背痛,gaokao
background,"n. 背景, 背景资料\n[计] 背景, 后台",gaokao
backward,"adv. 向后地, 相反地\na. 向后的, 相反的\n[计] 倒推",gaokao
bacon,n. 熏猪肉\n[机] 腌肉,gaokao
bacterium,n. 细菌\n[医] [无芽胞]杆菌属,gaokao
bad,a. 坏的\nn. 坏\nadv. 坏地,gaokao
badly,"adv. 严重地, 恶劣地, 极度地",gaokao
badminton,n. 羽毛球运动,gaokao
bag,"n. 袋子, 袋状物\nvt. 使膨大, 装袋, 猎获",gaokao
baggage,n. 行李\n[经] 行李,gaokao
bake,"vt. 烘焙, 烤\nvi. 烤面包\nn. 烘焙, 烤",gaokao
bakery,n. 面包店,gaokao
balance,"n. 平衡, 差额\nvi. 平衡, 相等\nvt. 称, 权衡, 比较, 使平衡, 结算, 抵消",gaokao
balcony,"n. 阳台, 戏院楼厅",gaokao
ball,"n. 球, 舞会, 球状物\nv. 捏成球形",gaokao
ballet,n. 芭蕾舞,gaokao
balloon,"n. 气球\nvt. 使成气球状\nvi. 膨胀如气球, 激增",gaokao
ballpoint,n. 圆珠笔,gaokao
bamboo,n. 竹子\n[医] 竹类,gaokao
ban,"n. 禁令\nvt. 禁止, 取缔",gaokao
banana,n. 香蕉,gaokao
band,"n. 带子, 队, 乐队\nv. 联合, 结合\n[计] 频带; 波段; 区",gaokao
bandage,n. 绷带\n[化] 帘布筒; 实心轮胎; 紧带; 绷带,gaokao
bang,"n. 重击, 突然巨响, 刘海\nv. 发巨响, 重击\nadv. 砰然地, 突然巨响地, 直接地\n[计] 撞击符",gaokao
bank,"n. 银行, 堤, 岸\n[医] 库",gaokao
bar,"n. 条, 棒, 酒吧, 栅, 障碍物\nvt. 禁止, 阻挡, 妨碍\n[计] 棒形图",gaokao
barbecue,"n. 烤肉\nvt. 烤肉, 烧烤",gaokao
barber,n. 理发师,gaokao
barbershop,n. 理发店,gaokao
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的\nvt. 使赤裸, 露出",gaokao
bargain,"n. 交易, 买卖协定, 特价商品\nv. 讲价, 交易",gaokao
bark,"n. 树皮, 吠声\nvi. 吠, 叫骂\nvt. 喊出, 剥树皮",gaokao
barrier,"n. 障碍, 栅栏\n[化] 势垒; 阻片; 阻挡层",gaokao
base,"n. 底部, 垒, 基础, 基地\nvt. 以...作基础\na. 卑鄙的, 低劣的\n[计] 基准",gaokao
baseball,n. 棒球\n[计] 棒球系统,gaokao
basement,"n. 地下室, 墙脚\n[化] 地下室",gaokao
basic,"n. 基本原理, 要素, 基本规律\na. 基本的, 碱性的\n(计算机)BASIC语言",gaokao
basin,"n. 盆, 盆地\n[医] 第三脑室, 骨盆",gaokao
basis,"n. 基础, 主要成分\n[化] 基底",gaokao
basket,"n. 篮, 篮子\nvt. 装入篮",gaokao
basketball,n. 篮球,gaokao
bat,"n. 蝙蝠, 球棒\nv. 用球棒打, 眨眼\n[计] 成批",gaokao
bath,"n. 沐浴, 浴室\n[医] 浴",gaokao
bathe,"vt. 沐浴, 用水洗\nvi. 洗澡",gaokao
bathrobe,n. 浴衣,gaokao
bathroom,"n. 浴室, 厕所",gaokao
bathtub,n. 浴缸,gaokao
battery,"n. 电池, 殴打\n[化] 蓄电池",gaokao
battle,n. 战役\nv. 战斗,gaokao
battleground,"n. 战场, 战地",gaokao
bay,"n. 海湾, 狗吠声, 月桂\nvt. 吠, 使走投无路\nvi. 吠",gaokao
be,"v. 是, 表示, 在\n[计] 后端, 总线允许",gaokao
beach,n. 海滩,gaokao
beam,"n. 横梁, 杆, 光线, 容光焕发\nvi. 用梁支承, 微笑, 射出光线\nvt. 照耀, 感到欣喜\n[计] 束",gaokao
bean,n. 豆子\n[化] 油嘴; 豆,gaokao
beancurd,n. 豆腐,gaokao
bear,"n. 熊\nvt. 忍受, 支承, 产生, 怀有, 通过卖空使跌价\nvi. 忍受, 结果实, 压挤, 行进, 转向",gaokao
beard,"n. 胡须\nvt. 抓住胡须, 公开反对",gaokao
beast,"n. 畜生, 动物, 野兽, 兽性",gaokao
